1701,1702	2039,2040
1703	2041
1704,1705	2042,2044
1706	2045,2046
1707	2047
1708	2048
1709,1710	2049,2051
1711	2052,2053
1712,1713	2054
1714	2055
1715	2056
-1	2057
1716	2058,2059
1717	-1
1718	2060
-1	2061
1719	2062
1720,1721	2063
1722	2064
1723	2065,2066
1724	2067
1725	2068
1726	2069
1727	2070
1728	2071
1729	2072,2073
1730	2074
1731,1732	2075,2076
1733	2077
1734	2078,2079
1735	2080
1736	2081
1737	2082
1738	2083
1739	2084
1740	2085,2086
1741,1742	2087
1743	2088
1744	2089
1745	2090
1746	2091
1747	2092
1748,1749	2093,2094
1750	2095
1751	2096,2098
1752	2099
1753	2100
1754	2101
1755	2102
1756	-1
-1	2103
1757,1758	2104,2105
1759	2106
1760	2107
-1	2108
1761	2109
1762,1763	2110,2111
1764,1765	2112,2114
1766,1767	2115
1768,1770	2116,2117
-1	2118
1771	2119
1772	2120
1773	-1
-1	2121
1774	2122
1775	2123
1776	2124
1777	2125,2126
1778	2127
-1	2128
1779	2129,2131
1780,1781	2132
1782	2133
1783	2134,2135
1784,1785	2136,2140
1786	-1
1787	2141
1788	2142,2145
1789	2146,2147
1790	2148
1791	2149
1792,1794	2150
1795	2151
-1	2152
1796,1797	2153,2154
1798	2155,2156
1799	2157
1800	2158,2159
1801	2160
-1	2161
1802,1803	2162
1804	2163
1805	2164,2165
1806	2166,2167
1807	2168
1808	2169
1809	2170
1810	2171
1811	2172
1812	2173
1813,1814	2174,2175
1815	2176
1816	2177
1817,1818	2178,2179
1819	2180,2182
1820	2183
1821	2184
1822	2185,2186
1823,1824	2187,2189
1825	2190
1826	2191
1827,1828	2192,2196
-1	2197
1829	2198,2200
1830,1831	2201
1832	2202,2204
1833	2205
1834	2206
-1	2207
1835,1836	2208,2211
1837	2212
1838,1839	2213,2215
1840,1841	2216,2219
1842	2220
1843	2221,2222
1844	2223,2226
1845	2227
1846,1847	2228,2230
1848	-1
1849	-1
-1	2231
-1	2232
1850	2233,2234
1851	2235
1852	-1
-1	2236
-1	2237
1853	2238
1854	2239
1855	2240
1856	2241,2242
1857,1858	2243,2244
1859	-1
1860	2245
1861	2246,2247
1862	2248
1863	2249
1864	2250
1865	2251
-1	2252
1866	2253,2255
1867	2256
-1	2257
1868,1869	2258
1870	2259
1871	2260,2263
1872	2264,2265
1873	2266,2270
1874	2271,2272
1875	2273
1876	2274
-1	2275
1877	-1
-1	2276
-1	2277
1878	2278
1879	2279
1880	2280
1881	2281
1882	2282
1883	2283
1884	2284,2285
